1,2,3,4,5,6
,0,0.25,0.5,0.75,1
0,0,0,0,0,0
0.25,0.221,0.215,0.209,0.204,0.199
0.5,0.393,0.375,0.358,0.341,0.326
0.75,0.528,0.495,0.466,0.439,0.413
1,0.632,0.588,0.547,0.51,0.476
1.25,0.714,0.66,0.61,0.565,0.523
1.5,0.777,0.716,0.66,0.608,0.56
1.75,0.826,0.761,0.7,0.642,0.59
2,0.865,0.797,0.732,0.671,0.614
2.5,0.918,0.851,0.783,0.716,0.652
3,0.95,0.888,0.819,0.749,0.681
3.5,0.97,0.915,0.848,0.776,0.704
4,0.982,0.934,0.869,0.797,0.722
4.5,0.989,0.948,0.887,0.814,0.737
5,0.993,0.959,0.901,0.829,0.751
6,0.997,0.974,0.924,0.853,0.772
7,0.999,0.983,0.94,0.871,0.789
100000000,1,0.99,0.95,0.88,0.8
